page,topic,chapter,anchor,action,detail,source,rendered
1,Lecture title and scope,,,Navigation,No separate book content needed.,,
2,Hidden inner worlds and shared meaning,33,shared-reality-in-communication,Retained,Opening framing is integrated into communication and shared reality.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
3,"Lab 1: forecast, paired conversation, prompts, privacy",34,lab-1-predict-and-experience-a-conversation-10-minutes,Added,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
4,Lab 1: forecast-error debrief and boundaries,34,lab-1-predict-and-experience-a-conversation-10-minutes,Added,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
5,"Before/after enjoyment, awkwardness, and connection chart",34,lab-1-predict-and-experience-a-conversation-10-minutes,Adapted,Use class-generated anonymous ratings. Unlabeled slide chart values are not represented as research results.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
6,Lecture roadmap,,,Navigation,Book chapter progression replaces lecture navigation.,,
7,Part 1 divider,,,Navigation,,,
8,"Connection, support, health, relationship quality, solitude",34,why-relationship-quality-matters,Expanded,"Added 148 studies / 308,849 participants; corrected chance to odds of survival. Links to Chapter 22 distinctions.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
9,Supportive versus ambivalent relationships,34,supportive-and-ambivalent-relationships,Added,"Explains both help and harm, uncertain support, vigilance, and difficulty leaving.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
10,Social pain and threatened belonging,34,social-pain-and-the-stakes-of-a-conversation,Added,Connects exclusion evidence to practical and identity stakes; avoids equating social and physical pain.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
11,Mispredicted social experience and avoidance,34,test-the-social-forecast,Expanded,Commuter experiment and liking gap retained; missing feedback from avoided contact made explicit.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
12,Part 2 divider,,,Navigation,,,
13,"Context, tone, power, culture, and meaning",33,meaning-is-inferred-tested-and-repaired,Expanded,Added suggestion/order and hearing/agreement examples.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
14,Language as compression and reconstruction,33,communication-is-coordination-and-repair,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
15,Iceberg: hidden context and common ground,33,meaning-is-inferred-tested-and-repaired,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
16,Desire for mind-reading; superpower poll,33,mind-reading-is-a-hypothesis,Adapted,Mentalizing topic retained. Omitted poll percentages: an incidental illustration without full sampling/source details.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
17,Mentalizing is necessary but fallible,33,mind-reading-is-a-hypothesis,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
18,Familiar partners and overconfidence in knowing minds,33,ask-rather-than-merely-imagine,Expanded,"Added spouse-preference application supported by Eyal et al. (2018). Did not reproduce chart attributed to Eyal and Epley (2010); inspected abstract for that paper concerns matching construal, not the plotted couples comparison.",chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
19,Egocentric projection,33,when-your-own-view-becomes-the-default,Expanded,Added Newton tapping study as concrete demonstration.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
20,False consensus and accessible social circles,33,when-your-own-view-becomes-the-default,Expanded,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
