source,kind,substantive_slides,chapter,section,discussion_check,action,boundary,source_file,source_line
Allcott & Rogers (2014),field experiments,52,40,close-the-loop-feedback-and-error-proofing,Home-energy reports illustrate,existing; new cross-link from 39,Repeated feedback differs from changing a default,chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,182
Bailey et al. (2010),laboratory experiment,19;20;25;36,21,smoking-opportunity-and-craving,Craving rose with availability on cigarette trials,expanded,Cigarette craving measured on water trials too; probability concerned access to the displayed cue,chapters/21-habits-wanting-and-self-control.qmd,117
Berridge & Robinson (1998),review plus experiments,11;12;41,21,wanting-can-outlast-liking,Their **taste-reactivity** measure,expanded,Observable hedonic reactions are not reports of conscious feelings,chapters/21-habits-wanting-and-self-control.qmd,101
Bowen & Marlatt (2009),randomized brief intervention,21;22,21,research-urge-surfing,The groups did **not** differ significantly,expanded,Seven-day smoking outcome; not validation of BRAIN or long-term cessation,chapters/21-habits-wanting-and-self-control.qmd,286
Brach (2021),practice guidance,22,21,create-space-without-demanding-that-the-urge-disappear,BRAIN here adapts the original RAIN,existing,Classroom adaptation; not an empirical trial,chapters/21-habits-wanting-and-self-control.qmd,309
Dai et al. (2014),three archival studies,53,39,research-fresh-start-and-context,three archival studies,expanded,Temporal landmarks were not randomized; starts do not establish maintenance,chapters/39-behavior-design-make-the-better-action-easier.qmd,280
Dang et al. (2021),multilab replication,18,39,willpower-and-the-habit-loop,Another multilab study found a small effect,existing,Small performance effect does not establish a fuel mechanism; see Appendix E,chapters/39-behavior-design-make-the-better-action-easier.qmd,49
Dar et al. (2010),naturalistic comparison,19;20,21,smoking-opportunity-and-craving,Craving rose as landing approached,expanded,Flight length not randomized; deprivation remains relevant,chapters/21-habits-wanting-and-self-control.qmd,113
Duckworth et al. (2016),theoretical review,18;26;34;54,21,changing-the-routine-before-the-next-difficult-sentence,choosing and modifying situations,existing,"Situational strategies are an organizing account, not a single intervention result",chapters/21-habits-wanting-and-self-control.qmd,147
Eyal (2014),product-design framework,15,39,design-an-attention-boundary,**Hook Model** describes,existing,Repetition and investment do not establish automatic habit or user benefit,chapters/39-behavior-design-make-the-better-action-easier.qmd,125
Fiorillo et al. (2003),monkey conditioning and neural recording,14;43,21,uncertain-rewards-and-near-misses,Anticipatory licking also increased,expanded,Sustained activity peaked at 50%; licking and brief cue response increased with probability,chapters/21-habits-wanting-and-self-control.qmd,135
Fogg (2009),design model,24;25,39,diagnose-the-moment-with-bmap,describes behavior as occurring when,existing,Framework definition; prompt cannot replace capability or resources,chapters/39-behavior-design-make-the-better-action-easier.qmd,75
Fogg (2020),practice framework,24;25;33;35,39,tiny-is-strategic,Fogg's practical recipe connects,existing,Small start is not evidence of goal attainment,chapters/39-behavior-design-make-the-better-action-easier.qmd,89
