slide,hidden,title,sources,disposition
1,False,Habits and Behavior Design,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
2,False,1,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
3,False,Explain how familiar cues come to evoke habitual responses.,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
4,False,Lecture roadmap,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
5,False,01,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
6,False,The dashed arrow marks a later encounter with the cue.,Wood & Neal (2007); Wood & Rünger (2016),Substantive study/framework/application mapped in source-coverage.csv
7,False,Two types of behaviors,Wood & Neal (2007); Wood & Rünger (2016),Substantive study/framework/application mapped in source-coverage.csv
8,False,Would stale popcorn stop you from eating?,Neal et al. (2011),Substantive study/framework/application mapped in source-coverage.csv
9,False,A familiar routine can weaken the effect of liking,Neal et al. (2011),Substantive study/framework/application mapped in source-coverage.csv
10,False,Stable cues and repetition build automaticity,Lally et al. (2010); Wood & Rünger (2016),Substantive study/framework/application mapped in source-coverage.csv
11,False,"Habit, wanting, and liking are distinct",Berridge & Robinson (1998); Wood & Rünger (2016),Substantive study/framework/application mapped in source-coverage.csv
12,False,Dopamine contributes to learning and wanting,Berridge & Robinson (1998); Schultz (2016); Schultz et al. (1997),Substantive study/framework/application mapped in source-coverage.csv
13,False,An unexpected reward produces a burst (A),Hollerman & Schultz (1998); Schultz (2016); Schultz et al. (1997),Substantive study/framework/application mapped in source-coverage.csv
14,False,Uncertain reward can sustain anticipatory neuronal activity,Fiorillo et al. (2003); Schultz (2016); Shen et al. (2015),Substantive study/framework/application mapped in source-coverage.csv
15,False,Opening the feed versus continuing to scroll,Eyal (2014); Shen et al. (2019); Wood & Rünger (2016),Substantive study/framework/application mapped in source-coverage.csv
16,False,02,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
17,False,Stroop effect: delay in reaction time between neutral and incongruent stimuli.,Stroop (1935),Substantive study/framework/application mapped in source-coverage.csv
18,False,17,Dang et al. (2021); Duckworth et al. (2016); Hagger et al. (2016); Vohs et al. (2021),Substantive study/framework/application mapped in source-coverage.csv
19,False,Craving rose as landing approached.,Bailey et al. (2010); Dar et al. (2010),Substantive study/framework/application mapped in source-coverage.csv
20,False,"Smokers saw a lit cigarette or water with the chance to sample (0%, 50%, or 100%), then rated craving before attempting to open the box.",Bailey et al. (2010); Dar et al. (2010),Substantive study/framework/application mapped in source-coverage.csv
21,False,An urge can be present without directing the action,Bowen & Marlatt (2009),Substantive study/framework/application mapped in source-coverage.csv
22,False,BRAIN: notice the urge and choose a response,Bowen & Marlatt (2009); Brach (2021),Substantive study/framework/application mapped in source-coverage.csv
23,False,03,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
24,False,B=MAP: the conditions of action,Fogg (2009); Fogg (2020),Substantive study/framework/application mapped in source-coverage.csv
25,False,B=MAP applied: bedtime checking,Bailey et al. (2010); Fogg (2009); Fogg (2020),Substantive study/framework/application mapped in source-coverage.csv
26,False,Match the intervention to the barrier,Duckworth et al. (2016); Michie et al. (2011),Substantive study/framework/application mapped in source-coverage.csv
