series,time_et,value,unit,field
kalshi,2024-11-05T18:00:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:01:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:02:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:03:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:04:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:05:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:06:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:07:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:08:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:09:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:10:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:11:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:12:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:13:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:14:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:15:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:16:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:17:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:18:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:19:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:20:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:21:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:22:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:23:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:24:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:25:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:26:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:27:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:28:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:29:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:30:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:31:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:32:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:33:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:34:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:35:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:36:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:37:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:38:00-05:00,59.0,cents,close
kalshi,2024-11-05T18:39:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:40:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:41:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:42:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:43:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:44:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:45:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:46:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:47:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:48:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:49:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T18:50:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:51:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:52:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T18:53:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T18:54:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:55:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:56:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:57:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T18:58:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T18:59:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:00:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T19:01:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T19:02:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T19:03:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:04:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:05:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:06:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:07:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:08:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:09:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:10:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:11:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:12:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T19:13:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:14:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:15:00-05:00,55.00000000000001,cents,close
kalshi,2024-11-05T19:16:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T19:17:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:18:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T19:19:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:20:00-05:00,56.00000000000001,cents,close
kalshi,2024-11-05T19:21:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:22:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:23:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:24:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:25:00-05:00,56.99999999999999,cents,close
kalshi,2024-11-05T19:26:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:27:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:28:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:29:00-05:00,57.99999999999999,cents,close
kalshi,2024-11-05T19:30:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:31:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:32:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:33:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:34:00-05:00,59.0,cents,close
kalshi,2024-11-05T19:35:00-05:00,60.0,cents,close
kalshi,2024-11-05T19:36:00-05:00,62.0,cents,close
kalshi,2024-11-05T19:37:00-05:00,65.0,cents,close
kalshi,2024-11-05T19:38:00-05:00,66.0,cents,close
kalshi,2024-11-05T19:39:00-05:00,65.0,cents,close
kalshi,2024-11-05T19:40:00-05:00,65.0,cents,close
kalshi,2024-11-05T19:41:00-05:00,63.0,cents,close
kalshi,2024-11-05T19:42:00-05:00,65.0,cents,close
kalshi,2024-11-05T19:43:00-05:00,67.0,cents,close
