"source_path","source_group","format","source_role","final_status","final_destination","final_handling","source_sha256"
".DS_Store","Lecture Notes root","none","macOS administrative artifact","excluded_noncontent","none","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","83f428d34f7911848d652683a0ae8dcd9a0308aa05c9d7a68729e96c5e93a635"
"01 - Foundations and Neuroscience/01. Introduction to Behavioral Economics.pdf","01 Foundations — introduction to behavioral economics","pdf","flattened/print lecture export","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","302fd4c490847b8665319c3936a8b4af1f20ff09e41b800573e1886e6d4177af"
"01 - Foundations and Neuroscience/01. Introduction to Behavioral Economics.pptx","01 Foundations — introduction to behavioral economics","pptx","supporting lecture source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","b89c92f9008a421772f28d61c67f5fbf2eee7fed58278f918107f26a910849d4"
"01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx","01 Foundations — anatomy/predictive evaluation manuscripts","pptx","supporting lecture source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","2c9f14c4b3e6f422c281e5e427f9345f2ada2962be1760850d946a0098166e71"
"01 - Foundations and Neuroscience/02. Neuroscience of Decision-Making.pdf","01 Foundations — neuroscience of judgment and decision","pdf","flattened/print lecture export","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","8cee6ebe05d1e57df1ab045f21b88eaf16dc0e578698ed7b1aea5ca86f19b022"
"01 - Foundations and Neuroscience/02. Science of Decision-Making.pdf","01 Foundations — science of decision making","pdf","flattened/print lecture export","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","d578a69604cbe6418ba98d7e0d009766a531fc9aca73d8592709c6b2c5161711"
"01 - Foundations and Neuroscience/02. Science of Decision-Making.pptx","01 Foundations — science of decision making","pptx","supporting lecture source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","1d5c96138e908acbc2e75cb6d370a96c1c4e9c0d3b688dfb8c2e2eefec07abcc"
"01 - Foundations and Neuroscience/0x. Neuroscience of Decision-Making.pptx","01 Foundations — neuroscience of judgment and decision","pptx","supporting lecture source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","2886e863afc305fc803ed58bc09928ebba8547086072a5092dd9932a38fa6442"
"01 - Foundations and Neuroscience/Active Inference  -  Repaired.pptx","01 Foundations — predictive processing, free energy, and active inference || ADDITIONAL AUDIT: Foundations and neuroscience / active inference","pptx","concise decision-making active-inference lecture || ADDITIONAL AUDIT: canonical concise teaching deck","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","bb345a1efb5263028e311e5451afffb9838fc4196e0d59a4669d3abd408114a4"
"01 - Foundations and Neuroscience/Anatomy of Decision 1.docx","01 Foundations — anatomy/predictive evaluation manuscripts","docx","long-form draft/reference manuscript","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","9eaae6859cbbeb9a0f09e00c0bfbb0fbd52ed253ade76d7cae065f487e505855"
"01 - Foundations and Neuroscience/Anatomy of Decision-Making.pdf","01 Foundations — anatomy/predictive evaluation manuscripts","pdf","flattened/print lecture export","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","c450ed2d0cd5f27b9d924b58bba167fcfb1ef93636f81948dd5907786c77d86f"
"01 - Foundations and Neuroscience/Anatomy of Decision.docx","01 Foundations — anatomy/predictive evaluation manuscripts","docx","long-form draft/reference manuscript","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","ed92aa9be609433b01377bc6dd4021a665858a5addd4579d216595b5fe1bfb50"
"01 - Foundations and Neuroscience/Anatomy_of_Decision_Making_with_Predictive_Evaluation  -  Repaired.pptx","01 Foundations — anatomy/predictive evaluation manuscripts","pptx","repaired/generated editable teaching source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","77bfd746b2247c8c23d5ed6b78803715c0b91935af9e020d727561ccd5dfdb1c"
"01 - Foundations and Neuroscience/Neuroeconomics.pptx","01 Foundations — neuroeconomics","pptx","supporting lecture source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","fdcbf87f0cc2e10a2c5d555319c01bdc57ae3a568bb9e5b984df7b9299de9256"
"01 - Foundations and Neuroscience/Science_of_Decision_Making_Updated_Lecture  -  Repaired.pptx","01 Foundations — science of decision making","pptx","repaired/generated editable teaching source","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","8c4a4fb86b9670117ccc0a4cbbdc8a9dcc1bbcf20be24357f21589a5f50de0ab"
"01 - Foundations and Neuroscience/The Predictive Brain in Behavioral Economics.docx","01 Foundations — predictive processing, free energy, and active inference","docx","long-form draft/reference manuscript","excluded_noncontent","Chapters 1–8, Chapter 48, and Appendix C","Blank document; inventoried and verified, with no substantive material to integrate.","6dae0da616c9b8cd38c7551922c92c6792015c2edeab7a34c3b2da8ad74920c2"
"01 - Foundations and Neuroscience/You_Do_Not_See_the_World_Directly_Presentation  -  Repaired.pptx","01–02 Perception — optical illusions and indirect seeing","pptx","repaired/generated editable teaching source","supporting_duplicate","Chapters 6–7: attention and predictive perception","No double counting: integrated through the named canonical source or source family.","b3bcc4e117aac6273f74426eeabe52111fe1f60ec786a3f83f78cd2a89ddc8f7"
"01. Decision Making Process.pptx","01 Foundations — decision process","pptx","recent 26-slide synthesis; unsafe as citation authority","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","c6df8a6a315e946ef913285c8ea27fa2db3d39ef1e83d78f095b6a2bb6b99f30"
"02 - Attention, Heuristics and Biases/02. Limited attention.pptx","02 Attention — selection, prediction, and expectation","pptx","supporting lecture source","supporting_duplicate","Chapters 6–8: attention, predictive inference, and expectation","No double counting: integrated through the named canonical source or source family.","18eb073abbfb67e8f88cdb700575357f66776e4b7c24b70a80062cdc224f94f9"
"02 - Attention, Heuristics and Biases/03&04. Two systems of thinking.pdf","02 Heuristics — two-process thinking","pdf","flattened/print lecture export","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","64c0dbef5e6ee0d3a7bd7644eb69f22797da4d4406390798d79931971497b47a"
"02 - Attention, Heuristics and Biases/03. Two systems of thinking.pdf","02 Heuristics — two-process thinking","pdf","flattened/print lecture export","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","d337c1c223d237d4b5d887ab8984d1af8c30e37a406a33c3d8dafabfd93fc4c4"
"02 - Attention, Heuristics and Biases/03. Two systems of thinking.pptx","02 Heuristics — two-process thinking","pptx","supporting lecture source","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","80ed51f81db2606819e97518829f33392b2222ae2ab50229207ea916095f6e1e"
"02 - Attention, Heuristics and Biases/04. Heuristics.pdf","02 Heuristics — adaptive shortcuts","pdf","flattened/print lecture export","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","7b83a60e98daabdd3db76a21292032b5ec98113551cb5ce91f5cf094d682a9c4"
"02 - Attention, Heuristics and Biases/04. Heuristics.pptx","02 Heuristics — adaptive shortcuts","pptx","supporting lecture source","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","ba8dd61c695ce8078ae3a70b8bf0d5ebc024aed61b92c6d9ba6ede76fb720c08"
"02 - Attention, Heuristics and Biases/04.1. Optical Illusions.pdf","01–02 Perception — optical illusions and indirect seeing","pdf","flattened/print lecture export","supporting_duplicate","Chapters 6–7: attention and predictive perception","No double counting: integrated through the named canonical source or source family.","8ed2e0bb9bb46160ccb10ee5d86d667c4606e64d38159bfc8b5f81146adfdf0c"
"02 - Attention, Heuristics and Biases/04.1. Optical Illusions.pptx","01–02 Perception — optical illusions and indirect seeing","pptx","supporting lecture source","supporting_duplicate","Chapters 6–7: attention and predictive perception","No double counting: integrated through the named canonical source or source family.","ff915790dbd910e04596d8e076323eff85faa6e10af199ed68b9a1018993037c"
"02 - Attention, Heuristics and Biases/05. Biases.pdf","02 Biases — story protection and contextual judgment","pdf","flattened/print lecture export","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","0db3462baa71dbe532f2077620b8c88f30547ee3202cf2ff7383a847839555e7"
"02 - Attention, Heuristics and Biases/05. Biases.pptx","02 Biases — story protection and contextual judgment","pptx","supporting lecture source","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","09d3b400cb866ab3b521b0a06fce5db225c3d6f559bb4ac951436068d9df1835"
"02 - Attention, Heuristics and Biases/07. Cognitive Ease.pdf","02 Context — cognitive ease and familiarity","pdf","flattened/print lecture export","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","7a7eb22d1b5b6a7cb7ff2325118c7d5d38e0e726cc83d3c83efd46b6efbca8cf"
"02 - Attention, Heuristics and Biases/07. Cognitive Ease.pptx","02 Context — cognitive ease and familiarity","pptx","supporting lecture source","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","6f21154d27b3b5df17d70de313d26fde492df2fe7b9e8c60f635b126f6b4a005"
"02. Neuroscience of Judgment.pptx","01 Foundations — neuroscience of judgment and decision","pptx","479-slide rasterized preservation/compilation archive","supporting_duplicate","Chapters 1–8, Chapter 48, and Appendix C","No double counting: integrated through the named canonical source or source family.","05c3187eb9fb0c93303a06503eb238da99b19539df4266f4941f4af7d7397ae7"
"03 - Context, Habits and Choice Architecture/00. Choice Architecture.pptx","03 Choice architecture and nudge","pptx","legacy visual-led source; exact-duplicate representative","supporting_duplicate","Chapter 47: Choice Architecture","No double counting: integrated through the named canonical source or source family.","a27184154813c22c9f59e7f75cd3311757125b058e3229160332a4bafcd863dd"
"03 - Context, Habits and Choice Architecture/05. Habit and Behavior Design.pdf","03 Habits and behavior design","pdf","flattened/print lecture export","supporting_duplicate","Chapters 44–48: habits, self-control, behavior and decision design","No double counting: integrated through the named canonical source or source family.","50adae7948cffb60351265ceef95126a484626391ae652c93e53581139f51c13"
"03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pdf","03 Context — framing, priming, and contextual influence","pdf","flattened/print lecture export","supporting_duplicate","Chapters 16–18: framing, priming, and cognitive ease","No double counting: integrated through the named canonical source or source family.","8e64e978629af841aab584d7171a699eff12db53ea4ef37554516afdf2e805e5"
"03 - Context, Habits and Choice Architecture/06&07. Contextual Influence.pptx","03 Context — framing, priming, and contextual influence","pptx","supporting lecture source","supporting_duplicate","Chapters 16–18: framing, priming, and cognitive ease","No double counting: integrated through the named canonical source or source family.","e2e75194dede9d5f240f352e09a5679919676c19eedb28df3175c36c422efe9d"
"03 - Context, Habits and Choice Architecture/06. Framing & Priming.pdf","03 Context — framing, priming, and contextual influence","pdf","flattened/print lecture export","supporting_duplicate","Chapters 16–18: framing, priming, and cognitive ease","No double counting: integrated through the named canonical source or source family.","5a616dabb044b86d5063234c69f9d6774fc2bc912bd3169539082c81716c3e71"
"03 - Context, Habits and Choice Architecture/06. Framing & Priming.pptx","03 Context — framing, priming, and contextual influence","pptx","supporting lecture source","supporting_duplicate","Chapters 16–18: framing, priming, and cognitive ease","No double counting: integrated through the named canonical source or source family.","1275594c5f2e69eb36e4f59fd2e2d49bad431f307c4b8a1ed77ffb83460e765d"
"03 - Context, Habits and Choice Architecture/06. Nudge and Choice Architecture.pdf","03 Choice architecture and nudge","pdf","flattened/print lecture export","supporting_duplicate","Chapter 47: Choice Architecture","No double counting: integrated through the named canonical source or source family.","6d631a7dbf73d9b4d870f8fd9569aa5b51d836671c29e75b83b59c706cae49cc"
"03 - Context, Habits and Choice Architecture/conscious_decisions_vs_habits  -  Repaired.pptx","03 Habits and behavior design","pptx","repaired/generated editable teaching source","supporting_duplicate","Chapters 44–48: habits, self-control, behavior and decision design","No double counting: integrated through the named canonical source or source family.","26caf87869412380fcb8de82b94a1e3bc517ef09a9df3983d8690438ffc79695"
"03. Two Systems of Thinking.pptx","02 Heuristics — two-process thinking","pptx","recent 26-slide synthesis; unsafe as citation authority","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","442085c82b41ebf4c852c8511875e9166492c567f80f3e1cef075d79fd53ce3c"
"04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pdf","04 Probability judgment","pdf","flattened/print lecture export","supporting_duplicate","Chapter 13: Probability Judgment","No double counting: integrated through the named canonical source or source family.","a460cd549923c865cb19873c15dd7a401bddfecf5769dae4fcc402219261e224"
"04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx","04 Probability judgment","pptx","primary detailed legacy lecture deck","supporting_duplicate","Chapter 13: Probability Judgment","No double counting: integrated through the named canonical source or source family.","d8a45f8ab5cb9dfbe2683a68bec34cca00981bde64ea29ca9742ee14f61b8a5d"
"04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pdf","04 Risky decision making","pdf","flattened/print lecture export","supporting_duplicate","Chapter 19: Risky Decision-Making","No double counting: integrated through the named canonical source or source family.","54e348769fc51f72231616bfbb463e55e12e73d7f413de44d0a8d331b6e482a8"
"04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx","04 Risky decision making","pptx","primary detailed legacy lecture deck","supporting_duplicate","Chapter 19: Risky Decision-Making","No double counting: integrated through the named canonical source or source family.","3cc29b373c85e827be916ae1868625fd5bcde073a915038b735617feee860565"
"04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pdf","04 Prospect theory and reference-dependent choice","pdf","flattened/print lecture export","supporting_duplicate","Chapter 20: Prospect Theory","No double counting: integrated through the named canonical source or source family.","06461d883136882268f09e66016ccbd3190c61c20404a4ce051c3277e5ce59aa"
"04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx","04 Prospect theory and reference-dependent choice","pptx","primary detailed legacy lecture deck","supporting_duplicate","Chapter 20: Prospect Theory","No double counting: integrated through the named canonical source or source family.","37a0dd8e2aeabfdb442c6311383980f2f06b3714622189763ff0cb3841220a66"
"04. Heuristics & Biases.pptx","02 Heuristics and biases — combined lecture","pptx","recent 26-slide synthesis; unsafe as citation authority","supporting_duplicate","Chapters 9–18: heuristics, biases, probability, framing, priming, and fluency","No double counting: integrated through the named canonical source or source family.","cdb37060a5c91748b594289a51abff7c4c6a2ad5fc085597adc456faa25e6cc1"
