Concept,Home,Book file,Section,Body match,Lecture source,Slide/page
Normative decision science,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Descriptive decision science,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Prescriptive decision science,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Rationality,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Three questions of decision science,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
Dominance,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Description invariance,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Representation and comparison {#representation-and-comparison},True,BE-Aalborg/Readings/02 - Research Design and Replication/Choosing the Right Research Question in Behavioral Economics.docx,
Process versus outcome,01,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,"The hiring decision, mapped once",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,16
Opportunity cost,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Generate alternatives deliberately,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,12
Alternatives,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Make values and trade-offs inspectable,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Constraints,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Learning goals,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
