source,physical_slides,topic,book_files,status,assessment,action
SDU-current/BE01. Intro to Behavioral Economics.pptx,"10-18,29-33","Scarcity, constraints, rationality; normative/descriptive/prescriptive questions",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd; chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd; appendices/appendix-a-rational-choice-and-decision-analysis.qmd,covered,Chapter1 explains all three questions and separates rationality from selfishness; Chapter2 specifies the feasible choice and opportunity cost.,Retain existing treatment.
SDU-current/BE01. Intro to Behavioral Economics.pptx,"20-26,35-36","Context effects: arrow, decoy, framing, donation defaults, valuation, Mars bars, watched eyes",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd; chapters/06-valuation-how-options-become-worth-choosing.qmd; chapters/13-accessibility-familiarity-and-ease.qmd; chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,Examples have distinct mechanisms and evidence grades; commercial anecdotes and watched-eyes evidence are not presented as universal causal laws.,Retain existing treatment.
SDU-current/BE02. Decision-Making Process.pptx,"6-13,30-34,48-51",Decision process; prediction versus valuation; opportunity cost; decision versus outcome quality,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd; chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd; chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd; chapters/41-decision-hygiene-build-a-process-that-can-learn.qmd,covered,"The map is explained through a choice and its information; ex ante quality is separated from realized outcome. Practice elicits alternatives, beliefs, values and a review rule.",Retain existing treatment.
SDU-current/BE02. Decision-Making Process.pptx,"14-29,47","Subjective value, self/social relevance, implicit egotism, emotion, body, price-placebo, motives",chapters/06-valuation-how-options-become-worth-choosing.qmd; appendices/appendix-b-evolutionary-explanations-of-value-choice-and-rationality.qmd,covered,"Chapter6 develops neural valuation, automatic appraisal, self relevance, emotion and bodily-state mechanisms. Price and discount studies are concrete; evolutionary and current mechanisms are kept separate.",Retain existing treatment.
SDU-current/BE02. Decision-Making Process.pptx,"35-37,45-46","Choice blindness, introspection limits, rationalization, premortems and feedback",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd; chapters/10-beliefs-that-defend-themselves.qmd; chapters/41-decision-hygiene-build-a-process-that-can-learn.qmd,covered,"Choice-blindness evidence distinguishes reports from causes; Chapter41 gives independent forecasts, records and structured review rather than a promise that introspection reveals causes.",Retain existing treatment.
SDU-current/BE03. Prediction and Expectation.pptx,"6-22,38-43","Predictive perception, priors, contextual inference, visual illusions, sensory limits",chapters/03-attention-what-becomes-evidence.qmd; chapters/04-the-predictive-mind-perception-is-inference.qmd,covered,"Chapter4 supplies explanatory illusions and a bounded predictive-processing account. Sensory differences belong in3. Neural network development is supplementary, not proof that all cognition follows one settled model.",Retain existing treatment.
SDU-current/BE03. Prediction and Expectation.pptx,"24-33,44,49-52","Placebo/nocebo, ability beliefs, aging expectations, stereotype threat, Pygmalion loops",chapters/05-expectations-when-predictions-become-causes.qmd; chapters/06-valuation-how-options-become-worth-choosing.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,Chapter5 covers bodily and interpersonal expectation pathways with replication/selection boundaries. Historic observational health associations do not establish that a belief alone causes longevity.,Retain existing treatment.
SDU-current/BE03. Prediction and Expectation.pptx,45-48,Internal models as useful predictions and potential traps; disagreement,chapters/04-the-predictive-mind-perception-is-inference.qmd; chapters/10-beliefs-that-defend-themselves.qmd; chapters/33-communication-language-is-not-a-file-transfer.qmd,covered,Book distinguishes useful priors from evidence-resistant beliefs; communication checks interpretations rather than asserting observers directly see one objective meaning.,Retain existing treatment.
SDU-current/BE04. Two Systems of Thinking.pptx,5-19,"Limited attention, top-down/bottom-up selection, inattentional/change blindness, HUD and advertising",chapters/03-attention-what-becomes-evidence.qmd,covered,"Chapter3 develops selective attention with studies and applications, including task-switching and notifications; figures expose missed information. Many demonstration screenshots are illustrations, not separate theories.",Retain existing treatment.
SDU-current/BE04. Two Systems of Thinking.pptx,"20-27,32","System1/System2, controlled effort, automaticity and skilled intuition",chapters/08-fast-and-frugal-thinking.qmd; chapters/21-habits-wanting-and-self-control.qmd,covered,"Chapter8 retains conventional terms with process rather than brain-box interpretation, Stroop and CRT; expertise conditions and habit distinction are explicit.",Retain existing treatment.
