occurrence_id,deck,slide_number,hidden_slide,object_id,object_name,sha256,duplicate_group,role,provenance,rights_status,treatment,destination,status,notes
DPN01. Decision Process:s1:o1,DPN01. Decision Process.pptx,1,False,7,Picture 6,65c29b88f625a702652efe844263a6e0f23e3604094c0ed76d6d53d302a28e8f,sha256:65c29b88f625a702,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Generic title art omitted; the chapter opening supplies the conceptual job. Raw asset ppt/media/image1.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s4:o1,DPN01. Decision Process.pptx,4,False,19,Picture 4,2fab781e388213fe79385d21a0576d138538663e44dfbb2c188f65486b097947,sha256:2fab781e388213fe,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/01-decision-making-is-a-process-not-a-moment.qmd#activity,accounted,"Padlet QR omitted; Decision Audit Studio Part 1 is a self-contained chapter activity. Raw asset ppt/media/image2.png, 742×742 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s5:o1,DPN01. Decision Process.pptx,5,False,6,Picture 5,c725c06451a3779feead89b1b288c5eb7d72da77037fa4d2d8cb7e84a1c10868,sha256:c725c06451a3779f,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Iceberg divider art omitted; the hidden-process prose carries the metaphor. Raw asset ppt/media/image3.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s8:o1,DPN01. Decision Process.pptx,8,False,9,Picture 9,fac0673bd8cef39f50af3ed4eb2a138f5505d97cbc0b23d9f93b10b4bc9cda33,sha256:fac0673bd8cef39f,substantive,deck-embedded conceptual diagram; no reusable license metadata,unclear,represented-in-existing-book-visual,figures/decision-loop.svg,complete,"Both raster components map to the original accessible decision-loop SVG in Chapter 1. Raw asset ppt/media/image4.png, 1266×802 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s8:o2,DPN01. Decision Process.pptx,8,False,10,Picture 2,b8b387cb86c16e795b2ae62582ddc1d4622ff268c25e89da93c174e60ca8bb97,sha256:b8b387cb86c16e79,substantive,deck-embedded conceptual diagram; no reusable license metadata,unclear,represented-in-existing-book-visual,figures/decision-loop.svg,complete,"Both raster components map to the original accessible decision-loop SVG in Chapter 1. Raw asset ppt/media/image5.png, 371×371 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s12:o1,DPN01. Decision Process.pptx,12,False,18,Picture 9,ee9387ee71a0f6bc3e53f86730f68e63e05adc167e237b56629f911de62d92ee,sha256:ee9387ee71a0f6bc,substantive,deck-embedded third-party or course visual; no reusable license metadata,unclear,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#to-decide-is-to-cut-off-judgment-choice-and-sacrifice,complete,"Crossroads photograph omitted; opportunity cost and the path forgone are explained in prose and Chapter 3. Raw asset ppt/media/image6.png, 450×684 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s14:o1,DPN01. Decision Process.pptx,14,False,9,slide.url=https://www.polleverywhere.com/multiple_choice_polls/WFGCQ09uLQXWn5PUx9E9q?display_state=instructions&activity_state=opened&state=opened&flow=Engagement&onscreen=persist,e3a3232eeebc9205fc5cd8cb359f69f65a45dc621c176124fbdecdfb6d21cc8e,sha256:e3a3232eeebc9205,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/01-decision-making-is-a-process-not-a-moment.qmd#activity,accounted,"Poll screenshot and QR omitted; its option-generation prompt is represented as a durable activity. Raw asset ppt/media/image7.png, 1600×900 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s14:o2,DPN01. Decision Process.pptx,14,False,10,Picture 6,7239d3b014bfd89ef306a8b0b2664582823e86a39f5410d201c281aa19e6277e,sha256:7239d3b014bfd89e,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/01-decision-making-is-a-process-not-a-moment.qmd#activity,accounted,"Poll screenshot and QR omitted; its option-generation prompt is represented as a durable activity. Raw asset ppt/media/image8.png, 208×206 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s15:o1,DPN01. Decision Process.pptx,15,False,6,Picture 5,c584cfd715f47d99981552c3eb93584a572ecc0f6c89c8ec433b2ccd1f5dffa2,sha256:c584cfd715f47d99,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Section or title artwork carries no unique evidence. Raw asset ppt/media/image9.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s19:o1,DPN01. Decision Process.pptx,19,False,17417,Picture 1,969e083838339d18b34ace55e7277425dc271e7dbaf8aa8ec266456a43fe0278,sha256:969e083838339d18,substantive,deck-embedded third-party or course visual; no reusable license metadata,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-1-an-arrow-that-redirects-attention,complete,"Google advertisement screenshot is not reproduced; the arrow anecdote and evidential caveat are in prose. Raw asset ppt/media/image10.png, 1448×1086 px; duplicate-group count in global inventory: 2."
