Concept,Initial home,Reviewed home,Status,Editorial note,Reviewed book file,Initial matched section,First lexical source,Slide/page
Normative decision science,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Descriptive decision science,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Prescriptive decision science,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Rationality,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Three questions of decision science,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
Dominance,01,25,placement or scope resolved,The opening Prisoner's Dilemma works through strict dominance; Golden Balls distinguishes weak dominance. Chapter 11 also develops dominated decoys.,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,2
Description invariance,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,Representation and comparison {#representation-and-comparison},BE-Aalborg/Readings/02 - Research Design and Replication/Choosing the Right Research Question in Behavioral Economics.docx,
Process versus outcome,01,01,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,"The hiring decision, mapped once",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,16
Opportunity cost,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Generate alternatives deliberately,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,12
Alternatives,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Make values and trade-offs inspectable,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Constraints,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Learning goals,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,8
Value of information,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Gather information only when it can change action,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Sensitivity analysis,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Stress-test the recommendation,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,29
Robustness,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Learning goals,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,34
Bounded rationality,02,02,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Use proportionate analysis,BE-Aalborg/BE2026/BE07. Strategic Interdependence.pptx,55
