slide,hidden,topic,destination,handling
1,False,Structure and learning objectives,Learning goals,Administrative/roadmap slides consolidated.
2,False,Structure and learning objectives,Learning goals,Administrative/roadmap slides consolidated.
3,False,Structure and learning objectives,Learning goals,Administrative/roadmap slides consolidated.
4,False,Structure and learning objectives,Learning goals,Administrative/roadmap slides consolidated.
5,False,"Assets, finance, payouts, P/E and discounting",What gives an asset fundamental value?,Risk-adjusted required return; P/E payback interpretation qualified; buybacks distinguished from new profits.
6,False,"Assets, finance, payouts, P/E and discounting",What gives an asset fundamental value?,Risk-adjusted required return; P/E payback interpretation qualified; buybacks distinguished from new profits.
7,False,"Assets, finance, payouts, P/E and discounting",What gives an asset fundamental value?,Risk-adjusted required return; P/E payback interpretation qualified; buybacks distinguished from new profits.
8,False,"Assets, finance, payouts, P/E and discounting",What gives an asset fundamental value?,Risk-adjusted required return; P/E payback interpretation qualified; buybacks distinguished from new profits.
9,False,"Assets, finance, payouts, P/E and discounting",What gives an asset fundamental value?,Risk-adjusted required return; P/E payback interpretation qualified; buybacks distinguished from new profits.
10,False,Section divider,"Historical bubbles: recurring feedback, different institutions",No separate teaching content.
11,False,"Bubble definition, beauty contest and greater fool",A bubble is a reinforcing-process hypothesis; Strategic resale and synchronization risk,A crash does not imply no buyers at any price.
12,False,"Bubble definition, beauty contest and greater fool",A bubble is a reinforcing-process hypothesis; Strategic resale and synchronization risk,A crash does not imply no buyers at any price.
13,False,Historical episodes,"Historical bubbles: recurring feedback, different institutions",All listed regions and episodes retained; Mexican crisis chronology corrected and separate from Asia.
14,False,Tulipmania,Tulipmania: a real boom surrounded by an exaggerated legend,Archival qualification added; extreme price/income ratio and unverified price-index image not reproduced as established typical transactions.
15,False,South Sea and Newton,The South Sea Bubble: Newton could sell early and still lose later,"Retained early sale, repurchase, and major loss; corrected bankruptcy and exact loss claims; unverified quotation and modern-money conversion omitted."
16,False,South Sea and Newton,The South Sea Bubble: Newton could sell early and still lose later,"Retained early sale, repurchase, and major loss; corrected bankruptcy and exact loss claims; unverified quotation and modern-money conversion omitted."
17,False,Bubble stages and shoeshine anecdote,How a boom can become a bubble and a crash,"Stages explained as a heuristic, not a forecasting law; anecdote explicitly qualified."
18,False,"Real prices, earnings and historical valuation",What gives an asset fundamental value?,CAPE and excess volatility discussed; dual-axis visual gap not treated as a statistical valuation test.
19,False,Dot-com returns and valuation confidence,Dot-com innovation and extreme expectations,NASDAQ and internet portfolio separated; survey respondents distinguished from all people and actual trades.
20,False,Dot-com returns and valuation confidence,Dot-com innovation and extreme expectations,NASDAQ and internet portfolio separated; survey respondents distinguished from all people and actual trades.
21,False,"Housing, equity losses, international declines",Housing: when a correction reaches balance sheets,Mechanisms and international comparison retained; precise unsourced table values replaced by identified Fed series/window and currency caveats.
22,False,"Housing, equity losses, international declines",Housing: when a correction reaches balance sheets,Mechanisms and international comparison retained; precise unsourced table values replaced by identified Fed series/window and currency caveats.
23,False,"Housing, equity losses, international declines",Housing: when a correction reaches balance sheets,Mechanisms and international comparison retained; precise unsourced table values replaced by identified Fed series/window and currency caveats.
24,False,Unexpected crashes and identification,A crash does not settle the bubble diagnosis; Experimental markets,1987 rebound does not rule out a bubble; lab benchmark separated from risk-averse certainty equivalents.
