"source_path","source_group","format","size_bytes","sha256","slides_or_pages","hidden_slides","notes_present","duplicate_of","role","content_summary","examples_activities","quant_claims","citations_urls","visuals_rights","current_destination","gap_status","recommended_destination","disposition","verification_notes"
".DS_Store","Lecture Notes root","none","10244","83f428d34f7911848d652683a0ae8dcd9a0308aa05c9d7a68729e96c5e93a635","not applicable","not applicable","not applicable","","macOS administrative artifact","Finder metadata only; no teaching content.","None.","None.","None.","No visual content.","None.","not applicable","none","omit/delete only if the user later authorizes cleanup","Binary plist not treated as a lecture source."
"01 - Foundations and Neuroscience/01. Introduction to Behavioral Economics.pdf","01 Foundations — introduction to behavioral economics","pdf","2998488","302fd4c490847b8665319c3936a8b4af1f20ff09e41b800573e1886e6d4177af","36 pages","not applicable (flattened PDF)","not available in flattened PDF","36-page visible-core export/earlier state of 01. Introduction to Behavioral Economics.pptx","flattened/print lecture export","Contrasts the neoclassical rational-choice benchmark with behavioral description; covers constrained optimization, prescriptive/descriptive questions, Homo economicus versus bounded humans, a short intellectual history, and a decision-process preview.","Attention arrow; honesty-box eyes; Economist-style decoy; survival/mortality frame; organ-donation default; Mars/Mars-bar salience; museum motive; classroom raffle and polls. Hidden appendix adds model-building, Friedman/Chicago methodology, Sheldon PlayStation/Xbox, and model-evaluation exercises.","Raffle conversion uses 10 francs per ticket and a DKK 50 teaching stake; Nobel/history dates and the organ/default examples require edition-specific checking. Course logistics and poll numbers are historical, not textbook evidence.","Key sources include Simon; Kahneman and Tversky; Thaler; Ariely; Friedman; Box; and Nobel biographies. Embedded hyperlinks (1): http://econ-experiment.herokuapp.com/room/be","42 PDF image XObject(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Substantially covered by chapters/01-the-choice-is-the-tip-of-the-iceberg.qmd and chapters/02-a-rational-benchmark-not-a-portrait.qmd; examples also appear in chapters 14–16 and 36.","Partial: the benchmark/history is covered, but the hidden model-science/Friedman discussion and explicit seven-properties-of-models exercise are not developed. Old course administration should not transfer.","Open the foundations part with decision process, then rational benchmark; retain a short boxed history/methods section in the rational-benchmark chapter and move model-science depth to an optional methods box.","Use for page-level visual/order comparison only; prefer editable PPTX or verified modern deck for integration.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/01. Introduction to Behavioral Economics.pptx","01 Foundations — introduction to behavioral economics","pptx","19131309","b89c92f9008a421772f28d61c67f5fbf2eee7fed58278f918107f26a910849d4","57 slides","42–57","yes — 21 slide(s) with nonempty notes","Editable/near-version companion to 01 - Foundations and Neuroscience/01. Introduction to Behavioral Economics.pdf","supporting lecture source","Contrasts the neoclassical rational-choice benchmark with behavioral description; covers constrained optimization, prescriptive/descriptive questions, Homo economicus versus bounded humans, a short intellectual history, and a decision-process preview.","Attention arrow; honesty-box eyes; Economist-style decoy; survival/mortality frame; organ-donation default; Mars/Mars-bar salience; museum motive; classroom raffle and polls. Hidden appendix adds model-building, Friedman/Chicago methodology, Sheldon PlayStation/Xbox, and model-evaluation exercises.","Raffle conversion uses 10 francs per ticket and a DKK 50 teaching stake; Nobel/history dates and the organ/default examples require edition-specific checking. Course logistics and poll numbers are historical, not textbook evidence.","Key sources include Simon; Kahneman and Tversky; Thaler; Ariely; Friedman; Box; and Nobel biographies. Embedded hyperlinks (6): http://econ-experiment.herokuapp.com/room/be; https://doi.org/10.1093/acprof:oso/9780195328318.003.0012; https://www.polleverywhere.com/multiple_choice_polls/fOA89GLsZwxpKGLiq8rXJ?flow=Default&onscreen=persist; https://www.polleverywhere.com/multiple_choice_polls/jufHLsxl1SfqRRa0o3WOD?flow=Default&onscreen=persist; https://www.polleverywhere.com/ranking_polls/Jr7sRQ0kV8iJc6yPbvcNI; https://youtu.be/gZA2770_f84","53 packaged media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Substantially covered by chapters/01-the-choice-is-the-tip-of-the-iceberg.qmd and chapters/02-a-rational-benchmark-not-a-portrait.qmd; examples also appear in chapters 14–16 and 36.","Partial: the benchmark/history is covered, but the hidden model-science/Friedman discussion and explicit seven-properties-of-models exercise are not developed. Old course administration should not transfer.","Open the foundations part with decision process, then rational benchmark; retain a short boxed history/methods section in the rational-benchmark chapter and move model-science depth to an optional methods box.","Integrate distinctive, verified concepts/examples; preserve source unchanged.","Container/content extraction succeeded; no parser error. Slides 42–57 are hidden; audit includes them, but obsolete polls/course links must not enter the book."
"01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx","01 Foundations — anatomy/predictive evaluation manuscripts","pptx","117888520","2c9f14c4b3e6f422c281e5e427f9345f2ada2962be1760850d946a0098166e71","111 slides","19–20, 67, 82–111","yes — 40 slide(s) with nonempty notes","Large editable companion to Anatomy of Decision-Making.pdf, the two Anatomy DOCX drafts, and the repaired predictive-evaluation deck","supporting lecture source","Long-form synthesis of prediction, valuation, attention, influence, bounded rationality, constructed preference, neural value, self/social relevance, emotion, habit, predictive coding, precision, active inference, persuasion, communication, and negotiation.","DVD opportunity cost; cigarette wanting-without-liking; red-car/name salience; professional identity/honesty; moral tagging; premortem; persuasion as precision and simulation; BATNA inference; questions as epistemic moves; fixed-pie reframing.","Contains formulas for expected utility and active-inference constructs plus study-specific results. Treat equations and empirical numbers as source-led content requiring notation and original-paper checks, not as self-validating because they appear in a draft manuscript.","Extensive DOI-linked bibliography: Simon; Kahneman and Tversky; Rangel et al.; Bartra et al.; Schultz et al.; Friston; Clark; Parr; Frith; Saxe; Pessiglione; Cohn; Klein. Embedded hyperlinks (4): NULL; https://doi.org/10.1016/j.neuron.2024.11.008; https://www.youtube.com/watch?v=GOF-saZ1XSQ; https://youtu.be/E26V363_k8o","74 packaged media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Many paragraphs have conceptual counterparts in chapters 01–08, 18–20, 25, 28, and 30–35. The current book is more calibrated than some claims in these drafts.","Partial/reference source: mine distinctive synthesis and citations, but do not merge wholesale. Missing high-value material is the explicit diagnostic matrix linking prediction, valuation, attention, precision, and updating.","Integrate selectively across foundation/predictive/valuation chapters; use the five diagnostic questions as a reusable end-of-part tool.","Integrate distinctive, verified concepts/examples; preserve source unchanged.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/02. Neuroscience of Decision-Making.pdf","01 Foundations — neuroscience of judgment and decision","pdf","3180991","8cee6ebe05d1e57df1ab045f21b88eaf16dc0e578698ed7b1aea5ca86f19b022","45 pages","not applicable (flattened PDF)","not available in flattened PDF","PDF export/near-version of the same-named PPTX family; not byte- or page-identical","flattened/print lecture export","Introduces brain-method cautions and distributed systems for valuation, attention, learning, emotion, self-relevance, social relevance/mentalizing, and habit. Older decks also cover EEG/MEG/PET/fMRI/TMS, temporal/spatial resolution, reward prediction error, default-mode and prefrontal systems, and automatic evaluation.","Prosopagnosia/Capgras contrasts; subliminal incentive grip; prediction-error cue transfer; self-name/red-car salience; social approval/rejection; bank-identity coin flips; lesion evidence; liking versus wanting; imaging-method comparison.","Legacy claims include ~2% body mass/~20% resting energy, ~100 billion cells, and small task-energy changes; use current neuroscience sources and avoid a single 'value center.' Bank-identity and implicit-egoism percentages require original-data verification.","Rangel et al. (2008); Bartra et al. (2013); Levy and Glimcher (2012); Schultz et al. (1997); Berridge and Robinson; Damasio; Frith and Frith; Saxe and Kanwisher; Pessiglione et al. (2007). Embedded hyperlinks (1): https://youtu.be/E26V363_k8o","27 PDF image XObject(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Distributed valuation is covered in chapters/07-value-is-constructed.qmd; predictive perception in chapter 06; expectation in chapter 08; dopamine/habit in chapters 19–20. Imaging methods and inference limits receive little explicit treatment.","Partial: the book has the core mechanisms, but lacks a compact 'how neuroscience knows' box comparing methods, reverse-inference limits, spatial/temporal resolution, and lesion versus correlational evidence. Several legacy claims need deletion or recalibration.","Place a short methods-and-claims box before constructed value; integrate distributed valuation into the valuation chapter, prediction error into habits, and mentalizing into communication/negotiation rather than creating a brain-region catalogue.","Use for page-level visual/order comparison only; prefer editable PPTX or verified modern deck for integration.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/02. Science of Decision-Making.pdf","01 Foundations — science of decision making","pdf","3862412","d578a69604cbe6418ba98d7e0d009766a531fc9aca73d8592709c6b2c5161711","75 pages","not applicable (flattened PDF)","not available in flattened PDF","75-page active-slide export/subset of 02. Science of Decision-Making.pptx (110 slides; 35 hidden)","flattened/print lecture export","Bridges formal decision theory to behavioral and neural mechanisms: judgment/choice, decide-as-sacrifice, EUT benchmark, constructed preference, value networks, prediction error, self/social relevance, emotion and moral intuition, rationalization, then predictive coding/free energy/active inference and implications for persuasion and negotiation.","Automatic evaluation, subliminal motivation, implicit egoism, bank identity, moral intuition, sexual/context cues, prediction-error learning, premortem, source precision, BATNA as hidden state, anchoring as prior, and questions as epistemic actions.","Legacy implicit-egoism occupation/name percentages, bank-identity coin-flip rates (58.2% vs 51.6%), brain-energy figures, and contextual-cue effects must be traced to originals; do not use them as settled general laws.","Simon; Kahneman and Tversky; Rangel et al.; Bartra et al.; Schultz et al.; Haidt; Zajonc; Cohn et al.; Friston; Clark; Parr et al.; Klein. No extractable embedded hyperlink; bibliography text still requires source verification.","51 PDF image XObject(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Distributed across chapters 01–08, 18–20, 25, 28, and 30. Current prose already adds important caution against a single value center, mind-reading, and over-neuralized explanation.","Partial: most durable ideas are present, but no visible map shows exactly how prediction, precision, valuation, action, and feedback connect. Formal active-inference content should remain bounded/optional.","Use as a cross-chapter synthesis after predictive mind and valuation; place formal free-energy material in an optional appendix/toolbox.","Use for page-level visual/order comparison only; prefer editable PPTX or verified modern deck for integration.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/02. Science of Decision-Making.pptx","01 Foundations — science of decision making","pptx","49159204","1d5c96138e908acbc2e75cb6d370a96c1c4e9c0d3b688dfb8c2e2eefec07abcc","110 slides","69–70, 78–110","yes — 44 slide(s) with nonempty notes","Editable/near-version companion to 01 - Foundations and Neuroscience/02. Science of Decision-Making.pdf","supporting lecture source","Bridges formal decision theory to behavioral and neural mechanisms: judgment/choice, decide-as-sacrifice, EUT benchmark, constructed preference, value networks, prediction error, self/social relevance, emotion and moral intuition, rationalization, then predictive coding/free energy/active inference and implications for persuasion and negotiation.","Automatic evaluation, subliminal motivation, implicit egoism, bank identity, moral intuition, sexual/context cues, prediction-error learning, premortem, source precision, BATNA as hidden state, anchoring as prior, and questions as epistemic actions.","Legacy implicit-egoism occupation/name percentages, bank-identity coin-flip rates (58.2% vs 51.6%), brain-energy figures, and contextual-cue effects must be traced to originals; do not use them as settled general laws.","Simon; Kahneman and Tversky; Rangel et al.; Bartra et al.; Schultz et al.; Haidt; Zajonc; Cohn et al.; Friston; Clark; Parr et al.; Klein. Embedded hyperlinks (3): https://doi.org/10.1037/a0028954; https://doi.org/10.1068/p7290; https://doi.org/10.1098/rsbl.2003.0134","53 packaged media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Distributed across chapters 01–08, 18–20, 25, 28, and 30. Current prose already adds important caution against a single value center, mind-reading, and over-neuralized explanation.","Partial: most durable ideas are present, but no visible map shows exactly how prediction, precision, valuation, action, and feedback connect. Formal active-inference content should remain bounded/optional.","Use as a cross-chapter synthesis after predictive mind and valuation; place formal free-energy material in an optional appendix/toolbox.","Integrate distinctive, verified concepts/examples; preserve source unchanged.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/0x. Neuroscience of Decision-Making.pptx","01 Foundations — neuroscience of judgment and decision","pptx","114741897","2886e863afc305fc803ed58bc09928ebba8547086072a5092dd9932a38fa6442","99 slides","6, 55, 70–99","yes — 39 slide(s) with nonempty notes","Legacy editable companion to 02. Neuroscience of Decision-Making.pdf and BE02 neuroscience revision","supporting lecture source","Introduces brain-method cautions and distributed systems for valuation, attention, learning, emotion, self-relevance, social relevance/mentalizing, and habit. Older decks also cover EEG/MEG/PET/fMRI/TMS, temporal/spatial resolution, reward prediction error, default-mode and prefrontal systems, and automatic evaluation.","Prosopagnosia/Capgras contrasts; subliminal incentive grip; prediction-error cue transfer; self-name/red-car salience; social approval/rejection; bank-identity coin flips; lesion evidence; liking versus wanting; imaging-method comparison.","Legacy claims include ~2% body mass/~20% resting energy, ~100 billion cells, and small task-energy changes; use current neuroscience sources and avoid a single 'value center.' Bank-identity and implicit-egoism percentages require original-data verification.","Rangel et al. (2008); Bartra et al. (2013); Levy and Glimcher (2012); Schultz et al. (1997); Berridge and Robinson; Damasio; Frith and Frith; Saxe and Kanwisher; Pessiglione et al. (2007). Embedded hyperlinks (4): NULL; https://doi.org/10.1016/j.neuron.2024.11.008; https://www.youtube.com/watch?v=GOF-saZ1XSQ; https://youtu.be/E26V363_k8o","62 packaged media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Distributed valuation is covered in chapters/07-value-is-constructed.qmd; predictive perception in chapter 06; expectation in chapter 08; dopamine/habit in chapters 19–20. Imaging methods and inference limits receive little explicit treatment.","Partial: the book has the core mechanisms, but lacks a compact 'how neuroscience knows' box comparing methods, reverse-inference limits, spatial/temporal resolution, and lesion versus correlational evidence. Several legacy claims need deletion or recalibration.","Place a short methods-and-claims box before constructed value; integrate distributed valuation into the valuation chapter, prediction error into habits, and mentalizing into communication/negotiation rather than creating a brain-region catalogue.","Integrate distinctive, verified concepts/examples; preserve source unchanged.","Container/content extraction succeeded; no parser error."
"01 - Foundations and Neuroscience/Active Inference  -  Repaired.pptx","01 Foundations — predictive processing, free energy, and active inference || ADDITIONAL AUDIT: Foundations and neuroscience / active inference","pptx","85456","bb345a1efb5263028e311e5451afffb9838fc4196e0d59a4669d3abd408114a4","20 slides || ADDITIONAL AUDIT: 20","none || ADDITIONAL AUDIT: 0","yes — 20 slide(s) with nonempty notes || ADDITIONAL AUDIT: yes (20/20 slides)","20-slide concise companion to the 24- and 32-slide FEP variants","concise decision-making active-inference lecture || ADDITIONAL AUDIT: canonical concise teaching deck","Defines priors, likelihood, prediction error, precision, generative models, Markov blankets, variational free energy, expected free energy, policies, epistemic/pragmatic value, active sampling, and habit as policy prior; applies them to framing, bias, interoception, identity, communication, persuasion, negotiation, and exploration/exploitation. || ADDITIONAL AUDIT: Predictive coding, priors, likelihood, prediction error, precision, variational free energy, expected free energy, epistemic/pragmatic value, action as policy selection, and applications to judgment, persuasion, negotiation, and AI trust; ends with an explicit falsifiability/model-comparison caution.","Ambiguous perception; eye movements as experiments; asking for evidence about AI advice; negotiation questions that reveal hidden states; source credibility as precision; framing as prior/model selection; habitual policies; uncertainty-reducing action. || ADDITIONAL AUDIT: Ambiguous performance-data evidence-weighting exercise; negotiation under hidden constraints; AI-advice calibration mini-case.","Advanced variants include Bayes, variational-free-energy and expected-free-energy notation. Mathematical equivalences and empirical applications must be stated with assumptions; broad high-level applications are hypotheses/metaphors unless operationalized. || ADDITIONAL AUDIT: 20 slides; equations for F[q] and expected free energy are teaching-level; no empirical effect-size table. Claims about precision and bias are presented as hypotheses/translation devices rather than measurements.","Friston (2010, 2023); Clark (2013); Rao and Ballard (1999); Parr, Pezzulo, and Friston (2022); Buckley et al.; Sajid et al.; Gottlieb and Oudeyer; Friston and Frith. No extractable embedded hyperlink; bibliography text still requires source verification. || ADDITIONAL AUDIT: Rao & Ballard (1999); Friston (2005, 2010, 2015); Clark (2013); Parr, Pezzulo & Friston (2022); Da Costa et al. (2020); Hodson et al. (2024); Markovic et al. (2021); Gijsen et al. (2022). No external hyperlinks embedded.","0 packaged media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright. Native-shape diagrams are the safest reusable elements, subject to source attribution and an independent layout/redraw. || ADDITIONAL AUDIT: All-native shapes and text; no embedded raster media. Recreate selected diagrams in the book style rather than screenshotting the slide.","Chapter 06 covers predictive inference and precision but not a formal active-inference treatment; related language appears in communication and negotiation chapters. || ADDITIONAL AUDIT: chapters/06-the-predictive-mind.qmd (basic predictive-processing material already present)","Partial: priors/prediction error/precision are strong, but epistemic versus pragmatic action and the limits/testability of active inference could be clearer. Formal Markov-blanket/free-energy derivations are not needed in the main teaching journey. || ADDITIONAL AUDIT: partial: framework present, but expected free energy, epistemic value, exploration/exploitation, and identification caveats are thin","After chapter 06, add a bounded optional toolkit; integrate epistemic action into probability/decision hygiene and negotiation questions. || ADDITIONAL AUDIT: chapters/06-the-predictive-mind.qmd plus a short application box in chapters/35-decision-hygiene.qmd","Integrate distinctive, verified concepts/examples; preserve source unchanged. || ADDITIONAL AUDIT: incorporate selectively and redraw natively","Container/content extraction succeeded; no parser error. || ADDITIONAL AUDIT: Scientifically careful relative to the other repaired FEP deck; retain the deck’s warning that active inference is not a universal post-hoc explanation. || ADDITIONAL AUDIT: Overlapping assignments reconciled from: lecture-audit-foundations-risk.csv, lecture-audit-methods-happiness.csv."
"01 - Foundations and Neuroscience/Anatomy of Decision 1.docx","01 Foundations — anatomy/predictive evaluation manuscripts","docx","52935","9eaae6859cbbeb9a0f09e00c0bfbb0fbd52ed253ade76d7cae065f487e505855","26 stored pages","not applicable (DOCX)","not applicable (DOCX prose)","Close earlier/later variant of Anatomy of Decision.docx (high text overlap; 26 versus 28 stored pages)","long-form draft/reference manuscript","Long-form synthesis of prediction, valuation, attention, influence, bounded rationality, constructed preference, neural value, self/social relevance, emotion, habit, predictive coding, precision, active inference, persuasion, communication, and negotiation.","DVD opportunity cost; cigarette wanting-without-liking; red-car/name salience; professional identity/honesty; moral tagging; premortem; persuasion as precision and simulation; BATNA inference; questions as epistemic moves; fixed-pie reframing.","Contains formulas for expected utility and active-inference constructs plus study-specific results. Treat equations and empirical numbers as source-led content requiring notation and original-paper checks, not as self-validating because they appear in a draft manuscript.","Extensive DOI-linked bibliography: Simon; Kahneman and Tversky; Rangel et al.; Bartra et al.; Schultz et al.; Friston; Clark; Parr; Frith; Saxe; Pessiglione; Cohn; Klein. Embedded hyperlinks (52): https://doi.org/10.1002/bdm.567; https://doi.org/10.1007/BF00122574; https://doi.org/10.1016/S0165-0173(98)00019-8; https://doi.org/10.1016/S1053-8119(03)00230-1; https://doi.org/10.1016/S1364-6613(97)01080-2; https://doi.org/10.1016/j.conb.2012.06.001; https://doi.org/10.1016/j.conb.2012.12.012; https://doi.org/10.1016/j.coph.2008.12.014; https://doi.org/10.1016/j.neuroimage.2005.12.002; https://doi.org/10.1016/j.neuroimage.2011.05.028; https://doi.org/10.1016/j.neuroimage.2013.02.063; https://doi.org/10.1016/j.neuron.2006.05.001; https://doi.org/10.1016/j.neuron.2008.03.020; https://doi.org/10.1016/j.neuron.2012.10.038; https://doi.org/10.1016/j.neuron.2013.09.007; https://doi.org/10.1016/j.neuron.2024.11.008; https://doi.org/10.1016/j.tics.2017.11.005; https://doi.org/10.1017/S0140525X12000477; https://doi.org/10.1037/0003-066X.35.2.151; https://doi.org/10.1037/0022-3514.82.4.469; https://doi.org/10.1037/0033-295X.108.4.814; https://doi.org/10.1037/a0021990; https://doi.org/10.1037/a0028954; https://doi.org/10.1037/h0042769; https://doi.org/10.1038/4580; https://doi.org/10.1038/nature13977; https://doi.org/10.1038/nn1560; https://doi.org/10.1038/nrn1919; https://doi.org/10.1038/nrn2357; https://doi.org/10.1038/nrn2787; https://doi.org/10.1038/nrn3950; https://doi.org/10.1038/srep00080; https://doi.org/10.1068/p281059; https://doi.org/10.1068/p7290; https://doi.org/10.1080/17470215908416289; https://doi.org/10.1080/17588928.2015.1020053; https://doi.org/10.1086/599764; https://doi.org/10.1093/scan/nsu063; https://doi.org/10.1098/rsbl.2003.0134; https://doi.org/10.1098/rstb.2005.1622; https://doi.org/10.1111/j.1467-9280.1997.tb00427.x; https://doi.org/10.1126/science.1089134; https://doi.org/10.1126/science.1140459; https://doi.org/10.1126/science.275.5306.1593; https://doi.org/10.1162/jocn.2010.21479; https://doi.org/10.1177/0146167202250221; https://doi.org/10.1177/0956797617752641; https://doi.org/10.1177/1745691610369469; https://doi.org/10.1509/jmkr.46.3.384; https://doi.org/10.1521/soco.1999.17.1.76; https://doi.org/10.2307/1884852; https://doi.org/10.2307/1914185","0 embedded media item(s). Rights are not established merely by inclusion in lecture notes. Use facts/data, not reproduced journal figures; redraw plots/tables from verified numeric results and cite the original study. Link to videos unless licensed. Replace commercial screenshots, celebrity/news photos, UI captures, cartoons, and textbook art with licensed/public-domain/original assets. Modification alone does not extinguish copyright.","Many paragraphs have conceptual counterparts in chapters 01–08, 18–20, 25, 28, and 30–35. The current book is more calibrated than some claims in these drafts.","Partial/reference source: mine distinctive synthesis and citations, but do not merge wholesale. Missing high-value material is the explicit diagnostic matrix linking prediction, valuation, attention, precision, and updating.","Integrate selectively across foundation/predictive/valuation chapters; use the five diagnostic questions as a reusable end-of-part tool.","Mine distinctive prose, synthesis, and DOI bibliography; do not merge wholesale or treat draft statements as verified evidence.","Container/content extraction succeeded; no parser error."
